siteID,tagID,speciesID,E,N,tmass,tarea,mass_per_area,d15N,d13C,N_pct,C_pct,dbh,H,crownShape
SJER,SJER192-F016,QUWI2,256682.5,4111086.8,0.4676,25.33537395,0.0185,-2.6,-25.7,1.3,45.3,19.9,6.7,NA
SJER,SJER192-F017,QUWI2,256671.9,4111070.5,0.2545,13.93445568,0.0183,-3.4,-25.4,1.2,45.2,36,11.1,NA
SJER,SJER192-F018,QUWI2,256679.2,4111054.5,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,24.2,4.9,NA
SJER,SJER192-F018,QUWI2,256680.6,4111055.8,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,52.6,8.1,NA
SJER,SJER192-F018,QUWI2,256679.8,4111056,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,51.3,9.2,NA
SJER,SJER128-F048,QUDO,257086.3,4111407,0.4631,31.66921744,0.0146,-2.1,-28.4,2,43.3,31.4,7.7,NA
SJER,SJER128-F049,QUDO,257075.6,4111402.5,0.5895,38.00306093,0.0155,-1.9,-27.7,1.7,43.5,51.4,10.9,NA
SJER,SJER128-F050,QUDO,257065.6,4111381.5,0.4979,35.46952354,0.014,-1.6,-27,2.1,43.9,32.5,7.9,NA
SJER,SJER128-F051,QUDO,257061,4111394.2,0.4583,30.40244875,0.0151,-1.7,-27.5,2.1,44,24.4,7.2,NA
SJER,SJER128-F052,RHIL,257060.6,4111398,0.4696,24.06860526,0.0195,-0.6,-26.9,1.9,44.4,NA,3.5,Sphere
SJER,SJER128-F053,RHIL,257085,4111374.8,0.5573,31.66921744,0.0176,-1.9,-28.6,1.5,44.4,NA,4.3,Hemisphere
SJER,SJER128-F054,RHIL,257071.6,4111393.5,NA,NA,NA,-1.8,-27.7,1.8,44,NA,3.8,Cone
SJER,SJER117-F028,QUDO,256179.9,4108735.8,0.3566,22.80183656,0.0156,0.6,-27.3,2.3,44.1,39.5,10.8,NA
SJER,SJER117-F029,QUDO,256167.3,4108738.5,0.3748,26.60214265,0.0141,0.6,-27.1,1.8,44.1,96.5,11,NA
SJER,SJER117-F026,QUWI2,256162,4108763.5,0.3398,20.26829916,0.0168,-1.3,-24.8,1.8,45.5,47.7,7,NA
SJER,SJER117-F027,QUWI2,256186.8,4108748.8,0.3987,20.26829916,0.0197,0.2,-24.7,1.6,45.4,12.2,5,NA
SJER,SJER117-F027,QUWI2,256186.8,4108748,0.3987,20.26829916,0.0197,0.2,-24.7,1.6,45.4,12.3,4.6,NA
SJER,SJER117-F027,QUWI2,256186.3,4108748.8,0.3987,20.26829916,0.0197,0.2,-24.7,1.6,45.4,14.8,5.1,NA
SJER,SJER117-F027,QUWI2,256186.5,4108748.5,0.3987,20.26829916,0.0197,0.2,-24.7,1.6,45.4,14.7,5.1,NA
SJER,SJER116-F007,QUDO,256840.4,4110804.5,0.4822,32.93598614,0.0146,-3,-27.9,1.9,42.4,70.5,9.9,NA
SJER,SJER116-F008,QUDO,256839,4110834,0.4566,29.13568005,0.0157,-4.3,-28.2,1.9,43.2,45.2,8.2,NA
SJER,SJER116-F011,QUDO,256824.9,4110822.8,0.3948,29.13568005,0.0136,-2.5,-27.4,2.2,42.8,19.6,6,NA
SJER,SJER116-F013,QUDO,256846.4,4110832.8,0.4943,38.00306093,0.013,-3.6,-27.3,1.8,43.2,18.2,7.4,NA
SJER,SJER116-F006,QUWI2,256843.8,4110818.5,0.2632,15.20122437,0.0173,-3.6,-26.5,1.3,45.1,60.2,10.9,NA
SJER,SJER116-F009,QUWI2,256853.6,4110828.5,0.4262,26.60214265,0.016,-4.3,-26.3,1.3,45.2,101.1,9.5,NA
SJER,SJER116-F010,QUWI2,256856.6,4110822.5,0.4783,25.33537395,0.0189,-2.5,-24.9,1.4,45.2,39,7.4,NA
SJER,SJER116-F010,QUWI2,256856.3,4110823,0.4783,25.33537395,0.0189,-2.5,-24.9,1.4,45.2,30.7,8.2,NA
SJER,SJER116-F012,QUWI2,256833.9,4110837.8,0.6115,30.40244875,0.0201,-3.3,-26.2,1.3,45.5,21.2,5.9,NA
SJER,SJER116-F012,QUWI2,256834,4110838.5,0.6115,30.40244875,0.0201,-3.3,-26.2,1.3,45.5,39.4,6.4,NA
SJER,SJER112-F036,QUDO,257408.6,4111312,0.5704,38.00306093,0.015,-2.1,-27.2,2.1,43.2,33.3,7.6,NA
SJER,SJER112-F037,QUDO,257405.3,4111309.2,0.4645,26.60214265,0.0175,-2.2,-28.4,1.8,43.4,44.3,7,NA
SJER,SJER112-F038,QUDO,257387.7,4111299.5,0.3414,25.33537395,0.0135,-2.8,-29.1,2,44,38,8.7,NA
SJER,SJER112-F030,PISA2,257414.5,4111292.5,1.0332,30.29517,0.0341,-2.8,-25.6,1.3,47.6,30.4,14.9,NA
SJER,SJER112-F031,PISA2,257409,4111297.5,1.0412,28.20338,0.0369,-2.2,-25.3,1.7,47.5,75.5,23.9,NA
SJER,SJER112-F032,PISA2,257409.8,4111303.8,0.8978,27.1757,0.033,-2.6,-25.1,1.4,47.2,30.6,17.2,NA
SJER,SJER112-F039,QUWI2,257423.8,4111298.5,0.5482,32.93598614,0.0166,-3.9,-26.7,1.3,45.1,41.5,6.8,NA
SJER,SJER112-F040,QUWI2,257421,4111304,0.4655,27.86891135,0.0167,-3.2,-25.6,1.4,45.3,43.2,6.5,NA
SJER,SJER112-F041,QUWI2,257420.9,4111290.5,0.6953,32.93598614,0.0211,-3.6,-25.5,1.3,45.4,21.8,4.3,NA
SJER,SJER112-F033,ARVI4,257398.7,4111285.5,0.998,34.20275484,0.0292,-1.5,-27,0.9,48.1,NA,3.1,Hemisphere
SJER,SJER112-F034,ARVI4,257406.2,4111284,1.3292,38.00306093,0.035,-1.4,-29.5,0.6,47.4,NA,3.1,Hemisphere
SJER,SJER112-F035,ARVI4,257421.4,4111308.2,1.2522,38.00306093,0.0329,-3.7,-27.6,0.7,47.5,NA,2.1,Sphere
SJER,SJER37-F025,QUDO,256147.2,4107582.5,0.2949,20.26829916,0.0145,-1.8,-27.4,1.9,44.3,66,11.5,NA
SJER,SJER8-F067,SANIC4/SANIC5,254757.5,4110246.5,0.224,30.40244875,0.0074,5.9,-27.3,1.1,8.6,29,5.2,NA
SJER,SJER8-F062,KEBR,254749.3,4110239.8,0.2354,22.99409,0.0102,2,-27.9,1,44.6,NA,1.2,Sphere
SJER,SJER8-F065,LUAL4,254748.4,4110267.5,0.0509,4.4298,0.0149,0.7,-28.9,2.4,33.9,14.3,2,Hemisphere
SJER,SJER8-F066,LUAL4,254733.1,4110253,0.0584,4.57334,0.0128,0.8,-29,2.5,33.8,9.9,1.5,Cone
SJER,SJER4-F055,QUWI2,257212.7,4109783.8,0.6882,38.00306093,0.0181,-2.9,-25.3,1.3,46,33.8,6.5,NA
SJER,SJER4-F055,QUWI2,257214,4109784.5,0.6882,38.00306093,0.0181,-2.9,-25.3,1.3,46,27.2,8.7,NA
SJER,SJER4-F055,QUWI2,257214.3,4109781.8,0.6882,38.00306093,0.0181,-2.9,-25.3,1.3,46,24,4.6,NA
SJER,SJER4-F055,QUWI2,257213.7,4109783,0.6882,38.00306093,0.0181,-2.9,-25.3,1.3,46,75,10.8,NA
SJER,SJER4-F056,QUWI2,257242.4,4109773.5,0.5643,29.13568005,0.0194,-3.4,-26.5,1.3,46,21.6,5.8,NA
SJER,SJER4-F057,QUWI2,257245.4,4109769.5,0.3925,22.80183656,0.0172,-3,-26.4,1.3,46,87.6,6.5,NA
SJER,SJER4-F057,QUWI2,257247.1,4109769.5,0.3925,22.80183656,0.0172,-3,-26.4,1.3,46,18.3,4.4,NA
SJER,SJER4-F057,QUWI2,257245,4109768,0.3925,22.80183656,0.0172,-3,-26.4,1.3,46,110.9,6.8,NA
SJER,SJER4-F058,QUWI2,257229.8,4109760.8,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,25.2,4.4,NA
SJER,SJER4-F058,QUWI2,257232.3,4109761.2,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,12.3,5.2,NA
SJER,SJER4-F058,QUWI2,257229.7,4109758.8,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,11.8,2.9,NA
SJER,SJER4-F058,QUWI2,257230.4,4109760.8,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,35.5,7.9,NA
SJER,SJER4-F058,QUWI2,257229.3,4109761.5,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,39.1,7.5,NA
SJER,SJER4-F058,QUWI2,257229,4109760,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,15.9,2.7,NA
SJER,SJER4-F058,QUWI2,257228.3,4109758.2,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,17.1,3.5,NA
SJER,SJER4-F058,QUWI2,257229.5,4109759.2,0.6818,38.00306093,0.0179,-2.9,-26,1.5,45.6,24.6,5.5,NA
SJER,SJER4-F059,QUWI2,257226.2,4109764,0.7095,38.00306093,0.0187,-1.9,-25.8,1.5,45.9,71.4,8.9,NA
